0.02	12.	42.	7.	0.	500	2000
0.02	12.	42.	7.	0.	1000	2000
0.02	12.	42.	7.	0.	1500	2000
0.02	12.	42.	7.	0.	2000	2000
0.02	12.	42.	7.	5.	500	2000
0.02	12.	42.	7.	5.	1000	2000
0.02	12.	42.	7.	5.	1500	2000
0.02	12.	42.	7.	5.	2000	2000
0.02	12.	42.	7.	10.	500	2000
0.02	12.	42.	7.	10.	1000	2000
0.02	12.	42.	7.	10.	1500	2000
0.02	12.	42.	7.	10.	2000	2000
0.02	12.	42.	10.	0.	500	2000
0.02	12.	42.	10.	0.	1000	2000
0.02	12.	42.	10.	0.	1500	2000
0.02	12.	42.	10.	0.	2000	2000
0.02	12.	42.	10.	5.	500	2000
0.02	12.	42.	10.	5.	1000	2000
0.02	12.	42.	10.	5.	1500	2000
0.02	12.	42.	10.	5.	2000	2000
0.02	12.	42.	10.	10.	500	2000
0.02	12.	42.	10.	10.	1000	2000
0.02	12.	42.	10.	10.	1500	2000
0.02	12.	42.	10.	10.	2000	2000
0.02	12.	52.	7.	0.	500	2000
0.02	12.	52.	7.	0.	1000	2000
0.02	12.	52.	7.	0.	1500	2000
0.02	12.	52.	7.	0.	2000	2000
0.02	12.	52.	7.	5.	500	2000
0.02	12.	52.	7.	5.	1000	2000
0.02	12.	52.	7.	5.	1500	2000
0.02	12.	52.	7.	5.	2000	2000
0.02	12.	52.	7.	10.	500	2000
0.02	12.	52.	7.	10.	1000	2000
0.02	12.	52.	7.	10.	1500	2000
0.02	12.	52.	7.	10.	2000	2000
0.02	12.	52.	10.	0.	500	2000
0.02	12.	52.	10.	0.	1000	2000
0.02	12.	52.	10.	0.	1500	2000
0.02	12.	52.	10.	0.	2000	2000
0.02	12.	52.	10.	5.	500	2000
0.02	12.	52.	10.	5.	1000	2000
0.02	12.	52.	10.	5.	1500	2000
0.02	12.	52.	10.	5.	2000	2000
0.02	12.	52.	10.	10.	500	2000
0.02	12.	52.	10.	10.	1000	2000
0.02	12.	52.	10.	10.	1500	2000
0.02	12.	52.	10.	10.	2000	2000
0.02	15.	42.	7.	0.	500	2000
0.02	15.	42.	7.	0.	1000	2000
0.02	15.	42.	7.	0.	1500	2000
0.02	15.	42.	7.	0.	2000	2000
0.02	15.	42.	7.	5.	500	2000
0.02	15.	42.	7.	5.	1000	2000
0.02	15.	42.	7.	5.	1500	2000
0.02	15.	42.	7.	5.	2000	2000
0.02	15.	42.	7.	10.	500	2000
0.02	15.	42.	7.	10.	1000	2000
0.02	15.	42.	7.	10.	1500	2000
0.02	15.	42.	7.	10.	2000	2000
0.02	15.	42.	10.	0.	500	2000
0.02	15.	42.	10.	0.	1000	2000
0.02	15.	42.	10.	0.	1500	2000
0.02	15.	42.	10.	0.	2000	2000
0.02	15.	42.	10.	5.	500	2000
0.02	15.	42.	10.	5.	1000	2000
0.02	15.	42.	10.	5.	1500	2000
0.02	15.	42.	10.	5.	2000	2000
0.02	15.	42.	10.	10.	500	2000
0.02	15.	42.	10.	10.	1000	2000
0.02	15.	42.	10.	10.	1500	2000
0.02	15.	42.	10.	10.	2000	2000
0.02	15.	52.	7.	0.	500	2000
0.02	15.	52.	7.	0.	1000	2000
0.02	15.	52.	7.	0.	1500	2000
0.02	15.	52.	7.	0.	2000	2000
0.02	15.	52.	7.	5.	500	2000
0.02	15.	52.	7.	5.	1000	2000
0.02	15.	52.	7.	5.	1500	2000
0.02	15.	52.	7.	5.	2000	2000
0.02	15.	52.	7.	10.	500	2000
0.02	15.	52.	7.	10.	1000	2000
0.02	15.	52.	7.	10.	1500	2000
0.02	15.	52.	7.	10.	2000	2000
0.02	15.	52.	10.	0.	500	2000
0.02	15.	52.	10.	0.	1000	2000
0.02	15.	52.	10.	0.	1500	2000
0.02	15.	52.	10.	0.	2000	2000
0.02	15.	52.	10.	5.	500	2000
0.02	15.	52.	10.	5.	1000	2000
0.02	15.	52.	10.	5.	1500	2000
0.02	15.	52.	10.	5.	2000	2000
0.02	15.	52.	10.	10.	500	2000
0.02	15.	52.	10.	10.	1000	2000
0.02	15.	52.	10.	10.	1500	2000
0.02	15.	52.	10.	10.	2000	2000
